configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,type,value_leading,value_overall,fraction_leading_ben_del_neu,fraction_overall_ben_del_neu,fraction_leading_ben_del_neu_no,fraction_overall_ben_del_neu_no
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30014,B,deleterious,3,1588,0.057692307692307696,0.39759639459188784,0.0006,0.3176
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30014,B,neutral,0,753,0.0,0.1885327991987982,0.0,0.1506
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30014,B,no_mutation,4948,1006,0,0.413870806209314,0,0.2012
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30015,A,beneficial,51,936,0.9807692307692307,0.468,0.0102,0.1872
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30015,A,deleterious,1,889,0.019230769230769232,0.4445,0.0002,0.1778
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30015,A,neutral,0,175,0.0,0.0875,0.0,0.035
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30015,A,no_mutation,4948,3000,0,0.468,0,0.6
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30015,B,beneficial,56,1646,0.9032258064516129,0.413360120542441,0.0112,0.3292
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30015,B,deleterious,6,1599,0.0967741935483871,0.4015570065293822,0.0012,0.3198
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30015,B,neutral,0,737,0.0,0.1850828729281768,0.0,0.1474
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30015,B,no_mutation,4938,1018,0,0.413360120542441,0,0.2036
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30016,A,beneficial,48,913,0.96,0.4715909090909091,0.0096,0.1826
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30016,A,deleterious,2,844,0.04,0.4359504132231405,0.0004,0.1688
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30016,A,neutral,0,179,0.0,0.09245867768595041,0.0,0.0358
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30016,A,no_mutation,4950,3064,0,0.4715909090909091,0,0.6128
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30016,B,beneficial,51,1664,0.9107142857142857,0.4138274061178811,0.0102,0.3328
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30016,B,deleterious,5,1561,0.08928571428571429,0.3882118875901517,0.001,0.3122
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30016,B,neutral,0,796,0.0,0.19796070629196716,0.0,0.1592
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30016,B,no_mutation,4944,979,0,0.4138274061178811,0,0.1958
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30017,A,beneficial,55,893,0.9482758620689655,0.4658320292123109,0.011,0.1786
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30017,A,deleterious,3,823,0.05172413793103448,0.42931664058424623,0.0006,0.1646
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30017,A,neutral,0,201,0.0,0.10485133020344288,0.0,0.0402
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30017,A,no_mutation,4942,3083,0,0.4658320292123109,0,0.6166
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30017,B,beneficial,61,1658,0.8714285714285714,0.41815889029003783,0.0122,0.3316
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30017,B,deleterious,9,1545,0.12857142857142856,0.3896595208070618,0.0018,0.309
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30017,B,neutral,0,762,0.0,0.19218158890290038,0.0,0.1524
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30017,B,no_mutation,4930,1035,0,0.41815889029003783,0,0.207
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30018,A,beneficial,51,908,0.9807692307692307,0.4651639344262295,0.0102,0.1816
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30018,A,deleterious,1,844,0.019230769230769232,0.4323770491803279,0.0002,0.1688
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30018,A,neutral,0,200,0.0,0.10245901639344263,0.0,0.04
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30018,A,no_mutation,4948,3048,0,0.4651639344262295,0,0.6096
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30018,B,beneficial,53,1650,0.9636363636363636,0.41426060758222444,0.0106,0.33
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30018,B,deleterious,2,1563,0.03636363636363636,0.3924177755460708,0.0004,0.3126
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30018,B,neutral,0,770,0.0,0.19332161687170474,0.0,0.154
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30018,B,no_mutation,4945,1017,0,0.41426060758222444,0,0.2034
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30019,A,beneficial,49,932,0.98,0.46716791979949873,0.0098,0.1864
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30019,A,deleterious,1,869,0.02,0.4355889724310777,0.0002,0.1738
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30019,A,neutral,0,194,0.0,0.09724310776942356,0.0,0.0388
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30019,A,no_mutation,4950,3005,0,0.46716791979949873,0,0.601
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30019,B,beneficial,52,1631,0.9285714285714286,0.41114192084698764,0.0104,0.3262
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30019,B,deleterious,4,1553,0.07142857142857142,0.3914797075875977,0.0008,0.3106
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30019,B,neutral,0,783,0.0,0.19737837156541468,0.0,0.1566
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30019,B,no_mutation,4944,1033,0,0.41114192084698764,0,0.2066
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30020,A,beneficial,48,927,0.9795918367346939,0.46050670640834573,0.0096,0.1854
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30020,A,deleterious,1,897,0.02040816326530612,0.4456035767511177,0.0002,0.1794
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30020,A,neutral,0,189,0.0,0.09388971684053651,0.0,0.0378
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30020,A,no_mutation,4951,2987,0,0.46050670640834573,0,0.5974
