configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,type,value_leading,value_overall,fraction_leading_ben_del_neu,fraction_overall_ben_del_neu,fraction_leading_ben_del_neu_no,fraction_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10019,A,no_mutation,4995,4995,0,1.0,0,0.999
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10019,B,beneficial,5,5,1.0,1.0,0.001,0.001
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10019,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10019,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10019,B,no_mutation,4995,4995,0,1.0,0,0.999
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10020,A,beneficial,9,9,1.0,1.0,0.0018,0.0018
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10020,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10020,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10020,A,no_mutation,4991,4991,0,1.0,0,0.9982
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10020,B,beneficial,9,10,1.0,1.0,0.0018,0.002
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10020,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10020,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10020,B,no_mutation,4991,4990,0,1.0,0,0.998
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10021,A,beneficial,2,2,1.0,1.0,0.0004,0.0004
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10021,A,deleterious,0,0,0.0,0.0,0.0,0.0
