configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,value_leading_ben_del_neu,value_leading_ben_del_neu_no,value_overall_ben_del_neu,value_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10271,B,100,5000,112,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10272,A,100,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10272,B,100,5000,108,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10273,A,100,5000,116,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10273,B,100,5000,111,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10274,A,100,5000,105,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10274,B,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10275,A,100,5000,102,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10275,B,100,5000,107,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10276,A,100,5000,111,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10276,B,100,5000,116,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10277,A,100,5000,111,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10277,B,100,5000,105,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10278,A,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10278,B,100,5000,119,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10279,A,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10279,B,100,5000,117,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10280,A,100,5000,102,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10280,B,100,5000,105,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10281,A,100,5000,116,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10281,B,100,5000,112,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10282,A,100,5000,112,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10282,B,100,5000,114,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10283,A,100,5000,107,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10283,B,100,5000,100,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10284,A,100,5000,110,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10284,B,100,5000,111,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10285,A,100,5000,107,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10285,B,100,5000,108,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10286,A,100,5000,111,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10286,B,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10287,A,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10287,B,100,5000,107,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10288,A,100,5000,118,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10288,B,100,5000,117,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10289,A,100,5000,117,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10289,B,100,5000,107,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10290,A,100,5000,107,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10290,B,100,5000,104,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10291,A,100,5000,119,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10291,B,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10292,A,100,5000,120,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10292,B,100,5000,108,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10293,A,100,5000,113,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10293,B,100,5000,111,5000
CONFIG_1,"1000, 0.001, 0.001",oneOffLockstep,0.001,1000,10294,A,100,5000,112,5000
